"industry_branch_code","payroll_year","avg_salary"
M,2013,31049.50
M,2014,31822.88
M,2015,32955.13
M,2016,33996.25
M,2017,35929.75
M,2018,38073.88
M,2019,40772.00
M,2020,41023.13
M,2021,42131.25
N,2000,10100.50
N,2001,10833.13
N,2002,11582.38
N,2003,11696.50
N,2004,12462.13
N,2005,12939.50
N,2006,13929.00
N,2007,14676.25
N,2008,14989.13
N,2009,15480.88
N,2010,15582.38
N,2011,16028.00
N,2012,16487.75
N,2013,16427.63
N,2014,16695.88
N,2015,17064.88
N,2016,18057.75
N,2017,19214.63
N,2018,20559.50
N,2019,22407.38
N,2020,23559.25
N,2021,24685.25
O,2000,15269.38
O,2001,16650.63
O,2002,18245.75
O,2003,19650.75
O,2004,20657.75
O,2005,22034.75
O,2006,23068.63
O,2007,24813.63
O,2008,25980.13
O,2009,26794.88
O,2010,26707.00
O,2011,26109.00
O,2012,26495.50
O,2013,26519.00
O,2014,27338.25
O,2015,28634.00
O,2016,30243.13
O,2017,32701.75
O,2018,36013.88
O,2019,38366.13
O,2020,40286.25
O,2021,39369.50
P,2000,11724.00
P,2001,12930.13
P,2002,14182.13
P,2003,15884.25
P,2004,17041.25
P,2005,17931.63
P,2006,19113.50
P,2007,20284.38
P,2008,21105.38
P,2009,22388.38
P,2010,21975.50
P,2011,22636.88
P,2012,23156.13
P,2013,23551.25
P,2014,23973.50
P,2015,24411.25
P,2016,25313.25
P,2017,26850.88
P,2018,29745.00
P,2019,33371.75
P,2020,35817.00
P,2021,34866.75
Q,2000,11632.25
Q,2001,13079.75
Q,2002,14779.13
Q,2003,15967.13
Q,2004,16443.25
Q,2005,17128.38
Q,2006,18507.50
Q,2007,19609.63
Q,2008,20604.88
Q,2009,22322.75
Q,2010,22938.50
Q,2011,23927.25
Q,2012,24348.88
Q,2013,24391.38
Q,2014,25011.13
Q,2015,26157.50
Q,2016,27429.38
Q,2017,29920.00
Q,2018,32746.38
Q,2019,35785.75
Q,2020,39546.00
Q,2021,45368.75
R,2000,10843.50
R,2001,12262.38
R,2002,12606.50
R,2003,13564.88
R,2004,14431.13
R,2005,15374.75
R,2006,16152.38
R,2007,17188.13
R,2008,18087.63
R,2009,18887.38
R,2010,19222.50
R,2011,19213.63
R,2012,20179.38
R,2013,19901.75
R,2014,20710.38
R,2015,21448.63
R,2016,22861.63
R,2017,24858.88
R,2018,27580.25
R,2019,30241.63
R,2020,30611.38
R,2021,29685.25
S,2000,10557.25
S,2001,11501.00
S,2002,12591.63
S,2003,13508.00
S,2004,14142.00
S,2005,14752.00
S,2006,15719.38
S,2007,16765.63
S,2008,17240.88
S,2009,17555.38
S,2010,17576.88
S,2011,18412.38
S,2012,18609.38
S,2013,18879.88
S,2014,19163.13
S,2015,19700.88
S,2016,20304.00
S,2017,21210.88
S,2018,22473.00
S,2019,23918.13
S,2020,24366.50
S,2021,25273.00
,2000,13017.38
,2001,14135.13
,2002,15258.50
,2003,16163.25
,2004,17189.13
,2005,18044.38
,2006,19218.88
,2007,20608.75
,2008,22239.75
,2009,22985.13
,2010,23478.38
,2011,24037.38
,2012,24655.63
,2013,24623.50
,2014,25329.13
,2015,26134.50
,2016,27292.00
,2017,29158.25
,2018,31520.50
,2019,33897.25
,2020,34891.00
,2021,35993.75
